Track,Artist,Release Date,ISRC,All Time Rank,Spotify,YouTube,TikTok,Pandora,Soundcloud,Shazam
Lisa,Young Miko,3/3/2023,QZXD92300001,"2,365","209,988,103","141,919,199","87,467,392","1,395,619",,"429,046"
I Can Feel It,Kane Brown,9/21/2023,USRN12300040,"2,369","36,059,521","1,031,056","19,880,210","19,210,194",,"251,945"
ï¿½ï¿½ï¿½ï¿½ ï¿½ï¿½ï¿½ï¿½ ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,5/2/2024,CAQ8S1636173,"2,374",,"32,341,045",,,,
you should see me in a crown,Billie Eilish,7/18/2018,USUM71810049,"2,370","860,596,912","520,754,022","397,345,798","81,461,591",,"3,668,559"
Te Robarï¿½,Nicky Jam,3/22/2019,USSD11900072,"2,366","547,483,874","768,753,162","5,221,834","130,897,920","1,690,083","2,115,863"
Rewrite The Stars (with James Arthur & Anne-Marie),James Arthur,10/25/2018,USAT21811554,"2,377","853,574,945","867,818,629","1,181,845,727",,,
FBI,Picus,2/29/2024,MXUM72400426,"2,386","6,591,040","68,503,599",,,,"35,815"
Come and Say - Original Mix,"""XY""",11/14/2022,ES98I2200881,"2,379",,"415,159,148",,,,
Somebody (2024),Gotye,2/9/2024,GBUM72311281,"2,378","51,862,502","1,992,397",,"102,841",,"230,260"
Dandelions,Ruth B.,4/28/2017,USSM11703468,"2,383","1,561,518,107","96,339,252","7,603,775,552","18,672,545","541,064","4,364,553"
Malvada,Zï¿½ï¿½ Fe,1/28/2022,BRTLW2100037,"2,382","166,427,224","401,495,057","1,504,623,313","7,412",,"141,986"
I Love You So,The Walters,11/28/2014,TCACC1438995,"2,394","1,410,353,130","417,265,571","3,241,952,947","10,212,607","25,431,145","3,007,369"
i love you,Billie Eilish,3/29/2019,USUM71900773,"2,390","930,343,185","280,579,630","724,117,161","38,736,042","3,706,611","2,035,027"
Not Fair,Niklas Dee,6/2/2023,DEN062300306,"2,392","164,667,038","902,072","14,577,073",,"39,315","322,313"
Benjamins Deli,JRitt,10/24/2023,QZTBA2358000,"2,389","996,881","637,836","3,461,361,475",,,
Him & I (with Halsey),G-Eazy,11/30/2017,USRC11701867,"2,384","949,651,805","182,719,598","529,467,091","292,789,841",,"13,315,971"
STAY (with Justin Bieber),The Kid LAROI,7/9/2021,USSM12104470,"2,385","3,107,100,349",,,,,"15,411,173"
TIKTOK,Ian Lucas,5/23/2024,ARAE52400089,"2,381","2,164,864","15,887,461",,,,"3,101"
Call Your Friends,Rod Wave,8/18/2023,USQX92304741,"2,395","47,296,342","33,439,568","37,869,926","14,954,542","9,036,620","208,435"
Rosa Pastel,Peso Pluma,4/20/2023,QM4TX2394694,"2,391","192,231,633","111,990,624","32,536,991","11,822,210","2,742,045","289,402"
Dirt Cheap,Cody Johnson,11/3/2023,QMCQK1900317,"2,387","44,047,842","11,326,093","8,486,978","15,957,709","620,808","252,283"
Borderline,Tame Impala,2/14/2020,AUUM71900956,"2,380","671,310,199","125,724,257","961,188,514","18,606,764",,"2,471,535"
Tï¿½,Carin Leon,5/22/2020,USDXS2007349,"2,393","327,311,508","699,298,520","271,173,077","48,730,708",,"1,353,689"
No Time To Die,Billie Eilish,2/13/2020,USUM72002771,"2,388","610,838,644","369,182,880","69,072,143","18,824,576","7,873,761","3,110,101"
All Eyes on Me,Dj Belite,12/20/2022,TCAGR2239010,"2,401","155,367","21,746,915","2,017,012,601",,,"8,238,004"
En El Radio Un Cochinero,Victor Cibrian,5/13/2022,USDXS2201437,"2,399","215,837,483","306,900,769","1,027,674,393","11,290,790",,"655,686"
Safari,J Balvin,6/3/2016,USUM71604778,"2,402","559,708,419","1,254,068,497","148,552,468","175,224,196",,"5,773,120"
comethru,Jeremy Zucker,9/7/2018,USUM71813455,"2,405","822,935,346","659,693,784","581,871,422","13,719,172",,"2,123,160"
ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,4/5/2024,FRX282414002,"2,403","2,409,532","44,586,424",,,,"14,731"
ROCKSTAR,Junior H,10/5/2023,QZ9QQ2300720,"2,404","266,127,900","59,903,646","487,133","4,270,463",,"445,730"
Boy's a liar,PinkPantheress,11/30/2022,GBAYE2202560,"2,400","203,628,716",,"2,935,382,291","1,882,133",,"557,783"
O Patinho Colorido,Bento e Totï¿½,11/15/2019,BX7CP1900008,"2,396","11,029,541","1,003,456,602","38,710,313",,,"13,061"
La Mejor Version de Mi,NATTI NATASHA,2/12/2019,USB271900112,"2,398","109,221,089","974,345,116","284,819,297","29,092,884",,
B.O.T.A. (Baddest Of Them All),Eliza Rose,6/15/2022,QZAKB2166448,"2,397","47,723,324","90,212,996","3,829,712,483","103,851",,"3,631,070"
Love Terremoto - Ao Vivo,Os Barï¿½ï¿½es Da Pisad,8/3/2022,BXDW72200033,"2,413","17,075,528","458,564,536",,"2,569",,"5,899"
Lucky Girl Syndrome,ILLIT,3/25/2024,USA2P2413261,"2,408","29,089,538","39,607,373","28,210,200","57,995",,"43,383"
...Baby One More Time (from Kung Fu Panda 4),Tenacious D,3/8/2024,USQ4E2205653,"2,406","28,423,160","33,548,614",,"769,869","152,405",
Little Dark Age,MGMT,10/17/2017,USSM11707035,"2,415","641,453,269","409,991,163","2,500,579,993","3,927,900","1,330,759","5,504,564"
Una Lady Como Tï¿½,Manuel Turizo,12/1/2016,QZ5AB1708080,"2,409","2,935,372","1,941,794,720",,,,
Whatever She Wants,Bryson Tiller,2/12/2024,USRC12400300,"2,418","207,093,873",,,,,
Hypnotized,Purple Disco Machine,4/8/2020,AUDCB1701555,"2,419","354,683,755","213,371,276","43,216,239","343,587",,"8,349,963"
Diable,Ven'nus,2/28/2023,ES11D2300869,"2,423","53,058","326,994,714",,,,142
Laung Laachi Title Track,Mannat Noor,2/22/2018,INS181800353,"2,422","30,173,434","1,535,932,925",,,,"256,247"
Chunni Me Perfume Lagawe,Gajendra Gurjar,6/13/2022,INN852200075,"2,412",,"501,846,542",,,,2
Koka,Mankirt Aulakh,11/6/2023,INSD11935132,"2,417","28,816,253","142,222,735","34,208","22,494",,"41,257"
ELEVEN,IVE,12/1/2021,KRA382163861,"2,407","306,760,464","458,931,624","1,292,286,614","661,185",,"493,607"
Hasta el Amanecer,Nicky Jam,1/15/2016,COC011531204,"2,411","560,103,803","1,596,092,291",,"368,330,940",,
Space Cadet (feat. Gunna),Metro Boomin,11/2/2018,USUG11802484,"2,416","917,916,061","182,161,713","405,647,527","18,990,768",,"3,109,292"
Poker Face ( Remix ),Bora Media,10/17/2023,ES64E2323174,"2,410","1,271,094,976",,,,,
November Rain (2022 Version),Guns N' Roses,11/4/2022,USUG12200195,"2,420","14,394,612",,,"158,428,263",,"122,032"
ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,Lusia Chebotina,10/29/2021,QMDA62163216,"2,421","32,318,892","366,398,853","2,526,424,724",,,"1,544,949"
We Ride,Bryan Martin,10/28/2022,QMDPP2201707,"2,414","200,017,368","35,463,149","27,411,983","47,905,972","2,107,680","503,044"
Rich Spirit,Kendrick Lamar,5/13/2022,USUM72208971,"2,437","254,191,262","66,231,224","33,984,850","12,592,517","6,055,815","555,350"
Cochinae,Julianno Sosa,4/19/2022,QZQAY2209019,"2,438","155,050,178","285,012,395","1,442,464,830","293,997",,"430,196"
Juju On That Beat (TZ Anthem),Zay Hilfigerrr,9/30/2016,USAT21602928,"2,427","243,305,603","568,942,313","54,450,631","107,122,060",,
I'm Not The Only One,Sam Smith,1/1/2014,GBUM71308836,"2,428","1,879,966,374","464,847,219","417,275,446","576,011,327",,"15,809,409"
Murder,Bgnzinho,2/14/2023,SGB502322635,"2,431","2,613,573","1,141,572","2,582,559,682",,,"71,048"
Major Distribution,Drake,11/4/2022,USUG12208599,"2,430","199,662,854","26,734,808","100,007,156","14,356,375",,"312,418"
Psikopat,Butrint Imeri,5/16/2024,QZNFJ2402312,"2,426","2,112,678","18,494,570",,,,"13,123"
Piï¿½ï¿½man Deï¿½,Semicenk,6/2/2023,FRX762391695,"2,434","134,291,091","147,910,091",,,,"409,388"
Dynamite,Taio Cruz,1/1/2010,GBUM71003721,"2,439","1,070,923,216","576,914,505","185,228,504","585,431,213","1,472,657","8,023,558"
Chlorine,Twenty One Pilots,10/5/2018,USAT21810687,"2,425","517,990,518","721,254,947","67,549,016","64,231,631",,
GIVENCHY,Duki,7/20/2022,UYB282240021,"2,436","240,519,561","203,263,077","313,936,580","36,312",,"177,813"
Here,Alessia Cara,4/30/2015,USUM71506251,"2,441","616,445,374","656,387,408","166,158,568","436,811,272","15,694,109","7,438,678"
COME UN TUONO (feat. Guï¿½,Rose Villain,3/7/2024,ITQ002400077,"2,433","53,590,796","26,526,323",,98,,"488,628"
Favorito,Camilo,3/26/2020,USSD12000055,"2,435","488,713,982","596,356,173","712,167,034","13,480,082",,"848,173"
Royalty,Egzod,4/22/2021,GB2LD2110089,"2,432","317,252,487","156,128,236","1,989,420,692","345,081","10,207,343","4,302,673"
Am I Wrong,Nico & Vinz,1/1/2013,USWB11304681,"2,440","965,827,790","243,060,460","930,985,864","598,857,243","33,851,324","19,231,875"
Tennessee Orange,Megan Moroney,9/2/2022,TCAGJ2289254,"2,424","227,893,586","30,913,276","117,505,652","56,972,562","1,336,043","708,143"
Tennessee Orange,Megan Moroney,9/2/2022,TCAGJ2289254,"2,424","227,893,586","30,913,276","117,505,652","56,972,562","1,336,043","708,143"
Still Trappin' (with King Von),Lil Durk,12/24/2020,USUM72024651,"2,448","176,140,377","90,527,434","12,014,523","27,955,730","35,096,727","494,233"
De Fresa y Coco,Luis R Conriquez,11/10/2023,QMANG2226771,"2,445","81,186,913","92,334,733",,"340,543",,"147,308"
He Dead (Oil Thief Remix),clipping.,9/21/2022,USSUB2246603,"2,456","14,148","434,179,026",,,,7
YUM YUM (Slowed),LXNGVX,6/23/2023,GB8KE2311722,"2,450","52,295,701","82,604,684","573,262,137",,,"353,346"
Issues,Julia Michaels,1/13/2017,USUM71615691,"2,446","1,214,862,854","333,612,581","142,981,272","372,160,120",,"9,191,508"
Element,Pop Smoke,2/7/2020,USUM72002041,"2,457","523,416,171","139,802,262","223,524,052","35,161,835",,"916,192"
n.h.i.e.,21 Savage,1/10/2024,USSM12304895,"2,459","102,829,758","4,997,224",,"4,081,079",,"165,768"
GOD'S COUNTRY,Travis Scott,7/28/2023,USSM12305008,"2,455","96,802,469","10,285,324","10,714,123","483,677","3,535,837","69,071"
Parado no Bailï¿½,MC L da Vinte,7/23/2018,QZ5AB2004464,"2,442","387,513,964","441,752,713","5,294,479,343","123,904",,"3,685,557"
El Paso del Gigante,Grupo Soï¿½ï¿½,11/24/2023,QZW9L2351948,"2,444","25,684",,,"73,951,432",,
F Boy,Ander Huang,8/22/2020,QZHNC2078374,"2,451","1,415,206","59,644","2,181,208,314",,,"145,931"
"Yo x Ti, Tu x Mi",ROSALï¿½,8/15/2019,USSM11900596,"2,452","572,697,124","630,335,590","125,501,807","39,158,276",,"2,065,994"
Say It,Tory Lanez,7/31/2015,USUM71510633,"2,447","510,138,748","486,163,241","63,978,184","345,673,337","70,720,994",
Ain't Shit,Doja Cat,6/25/2021,USRC12101540,"2,454","599,547,543","154,979,267","557,527,051","16,469,827",,"1,075,422"
Dancing With Your Ghost,Sasha Alex Sloan,6/28/2019,USRC11901644,"2,458","573,785,235","67,117,513","1,230,812,968","3,496,175",,"2,472,211"
SIRENS,Travis Scott,7/28/2023,USSM12305009,"2,449","102,510,409","22,490,105","8,554,938","258,711",,"110,863"
Conexï¿½ï¿½es de Mï¿½ï¿½fia (feat. Rich ,Matuï¿½,4/30/2023,BXW922200014,"2,453","159,579,530","113,216,772","68,969,483",,,"161,952"
2 Hielos,King Savagge,2/2/2023,QM4TW2352901,"2,443","76,078,240","60,811,918","1,479,348,962","12,110",,"187,445"
BAD BOY,Chris Jedi,2/7/2024,QZZU32400012,"2,474","42,027,577","42,037,919",,"869,749",,"120,993"
I Love Mama Mantu,Bulan Sutena,11/1/2021,FRX872121045,"2,468","8,887,656","102,934,351","1,978,705,486",,,"105,455"
Hall of Fame (feat. will.i.am),The Script,1/1/2012,GBARL1201055,"2,465","1,438,795,892","1,122,719,476","2,876,399,321",,,"12,730,727"
Original som fan,OP,10/30/2018,SE5BU1734432,"2,466","37,291",,"12,110,114,842",,,
SLAY!,Eternxlkz,3/15/2024,QM4TX2453776,"2,471","81,775,807","21,914,068","40,996,820",,,
Zaroori Tha,Rahat Fateh Ali Khan,12/31/2017,PKA0A1800272,"2,463",,"1,651,471,016",,,,
Deixa,Maria Marï¿½ï¿½,3/21/2023,BRMKP2300072,"2,467","64,736,609","254,836,186","67,989,343",,,
We Didnï¿½ï¿½ï¿½t Start Th,Fall Out Boy,6/28/2023,USAT22306291,"2,464","52,240,739","19,520,315","71,305,547",,"310,328","794,504"
ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½- Sayonara,Kenshi Yonezu,4/8/2024,JPU902400966,"2,473","22,739,117","33,961,165",,"32,268",,"59,510"
Proud Mary - 2023 Remaster,Tina Turner,4/26/2024,GBAYE2300346,"2,460","20,455",,,"11,750,230",,
Runaway (U & I),Galantis,10/5/2014,USAT21404265,"2,469","895,051,532","619,712,411","730,346,946",,"82,226,696","110,053"
Ley Seca,Jhay Cortez,9/2/2021,USUM72113444,"2,462","412,597,562","209,120,821","201,664,757","6,085,764",,"917,173"
Dawns (feat. Maggie Rogers),Zach Bryan,1/27/2023,USWB12300176,"2,461","261,468,916","8,880,434","127,691,196","13,386,628","4,161,850","481,576"
Mesafe,Semicenk,9/1/2023,TR0012300295,"2,470","59,964,248","112,511,884","77,807,288",,,"274,026"
Numb,Linkin Park,3/24/2003,USWB10300474,"2,472","1,720,830,668","2,450,982,330","490,782,499",,"15,120,261",
So High School,Taylor Swift,4/19/2024,USUG12402544,"2,478","97,601,615","5,528,058","17,893,741","1,393,596",,
Hola,Dalex,5/10/2019,QM9WM1900108,"2,483","28,185,177","1,163,245,760","20,930,088","2,003,438",,"349,429"
Dark Red,Steve Lacy,2/20/2017,GBKPL1778015,"2,475","1,315,024,190","152,580,618","558,037,837","9,194,032",,"3,864,898"
Diosa,Myke Towers,1/24/2020,QM4TW2040256,"2,484","465,811,322","574,401,770","196,656,614","18,906,788",,"789,689"
Sand Monkey,Kid Pharaoh,9/1/2022,AUOXM2200511,"2,479",,"456,529,791",,,,476
Wagon Wheel,Darius Rucker,1/1/2013,USCN11200248,"2,477","727,417,273","563,826,762","101,847,028","575,560,582","1,206,091","3,566,957"
Dil Galti Kar Baitha Hai,Jubin Nautiyal,9/25/2021,INS182101589,"2,482","64,013,323","633,429,136","4,052,529",,,"179,409"
Is There Someone Else?,The Weeknd,2/5/2021,USUG12106692,"2,485","669,099,980","213,028,772","101,980,300","4,076,339","5,014,133","1,352,593"
Dream Girl,Ir Sais,9/27/2017,TCADG1788520,"2,481","133,061,000","113,794,097","3,983,988,990","2,308,538",,"2,886,602"
Wild Side (feat. Cardi B),Normani,7/16/2021,USRC12101473,"2,476","181,529,121","235,286,963","406,413,864","98,376,412",,"1,916,244"
Bi' Tek Ben Anlarï¿½,Kï¿½ï¿½,3/18/2022,TRAUR2200002,"2,480","214,391,030","301,701,293","196,090,529",,,"861,877"
Location (feat. Burna Boy),Dave,3/8/2019,GBUM71900578,"2,490","540,907,681","281,620,086","65,403,430","221,658","7,901,879","1,899,818"
Mon Amour,Annalisa,3/31/2023,ITQ002300239,"2,488","86,387,703","98,278,396","376,919,346","10,290",,"739,131"
"Ve Kamleya (From ""Rocky Aur Rani Kii Prem Kahaani"")",Pritam,7/18/2023,INH102310310,"2,495","97,050,082","159,263,795",,,,"112,876"
Cake By The Ocean - Cover,MUSIC LAB JPN,5/28/2023,TCJPV2335795,"2,540","1,614,203,949",,,,,
Pray For Me,The Weeknd,2/2/2018,USUM71800001,"2,491","918,478,800","351,030,632","164,140,502","170,542,224",,"7,342,121"
p r i d e . i s . t h e . d e v i l (with Lil Baby),J. Cole,5/14/2021,QMJMT2103642,"2,487","367,165,473","69,280,791",,"33,574,737",,"561,364"
Position,Franglish,2/15/2024,FRD8V2400040,"2,492","44,456,165","34,743,986",,"3,433",,"620,606"
Motley Crew,Post Malone,7/9/2021,USUM72111566,"2,486","399,297,877","113,586,161","90,781,226","22,951,936",,"1,280,385"
Poppin,Yeat,2/18/2022,USUM72202097,"2,493","152,999,496","41,680,427","165,647,395","970,494","21,669,688","162,198"
Memories,Conan Gray,4/15/2022,USUM72204111,"2,494","445,742,307","65,247,352","299,317,588","1,484,701","2,312,729","2,074,587"
Casi Completa,Juliï¿½ï¿½n ï¿½ï¿½lvarez y su Norteï¿½,11/17/2023,QZ7HP2300096,"2,489","64,656,678","104,860,686","194,766","4,162,490",,"249,980"
JOLENE,Beyoncï¿½,3/27/2024,USSM12402711,"2,500","57,163,264","13,386,365","21,400,000","1,158,781","170,112","98,889"
Roï¿½ï¿½a Em,Zï¿½ï¿½ Fe,11/17/2022,BRTLW2200006,"2,502","192,684,719","253,199,155","547,404,253",842,,"125,189"
"Sugarcane (Remix) [feat. King Promise, Mayorkun & Darkoo]",Camidoh,4/8/2022,GBX722200156,"2,498","52,418,564","112,013,583","375,062,387","779,135",,"3,557,237"
Kya Hua,Vishal Mishra,5/31/2024,INP912410081,"2,497","96,766","10,605,392",,,,
TOES (feat. Lil Baby & Moneybagg Yo),DaBaby,9/27/2019,USUM71919280,"2,499","349,688,559","66,011,548","643,169,528","118,261,786","41,833,353","771,928"
Ch-Ch-Ch Chick (feat. Chick McGee),Bob and Tom,4/18/2013,QZ5HC2126407,"2,501","3,115","2,730,590,985",,,,
10 Things I Hate About You,Leah Kate,3/23/2022,QZES62254244,"2,496","238,502,829","26,154,092","2,205,444,414","23,587,662",,"692,500"
Adios Amor,Christian Nodal,2/16/2018,PEBQ91892842,"2,517","597,899,105","1,498,558,573",,,,
X ï¿½ï¿½LTIMA,Daddy Yankee,3/25/2022,USUG12201738,"2,503","409,394,001","123,846,563","1,334,863,571","23,456,449","676,729","526,470"
Lalala - Ilkan Gunuc Remix,Y2K,10/28/2019,USSM12002468,"2,515","28,240,865",,"1,680,010,594","37,628","182,052","1,994,181"
Poco A Poco,Xavi,9/23/2023,USA2P2344729,"2,514","283,079,113","41,149,970","60,287,119","4,030,323",,"271,176"
The Alchemy,Taylor Swift,4/18/2024,USUG12401042,"2,513","106,201,248","5,521,347",,"2,070,315",,"24,502"
Sunday Service,Latto,2/9/2024,USRC12400151,"2,505","12,270,831","22,668,627","3,400,000","5,371,441","1,903,428","172,799"
Red Ruby Da Sleeze,Nicki Minaj,3/3/2023,USUM72302705,"2,504","148,574,146","39,166,702","21,611,489","21,922,593",,"1,090,214"
Mama,Jonas Blue,5/5/2017,GBUM71701777,"2,509","955,563,174","929,090,173","85,857,976","27,583,329",,"7,735,883"
Puta Mexicana,DJ Jeeh FDC,12/6/2022,QZW9M2275605,"2,508","172,602,494","122,947,771","1,722,398,168",,,
Self Care,Mac Miller,7/13/2018,USWB11801215,"2,516","687,861,392","497,604,866","193,776,994","37,793,881",,
Out of Time,The Weeknd,2/5/2021,USUG12106689,"2,507","451,878,749","221,123,432","233,301,151","2,975,758",,"1,722,436"
Karma,Taylor Swift,10/21/2022,USUG12205729,"2,510","777,305,444","83,446",,,,
About You,The 1975,10/14/2022,GBK3W2202321,"2,506","350,348,521","63,111,604","793,536,731","1,164,726","446,223","508,585"
BED,Joel Corry,2/26/2021,UK4ZF2100069,"2,512","480,737,112","55,185,277","149,754,997","6,887,843",,"2,464,219"
23,Chayce Beckham,5/14/2021,QMRSZ2101045,"2,511","217,524,988","84,504,714","21,694,150","99,882,249","4,858,338","1,269,712"
I Can Do It With a Broken Heart,Taylor Swift,4/18/2024,USUG12401053,"2,525","250,430,303",,,,,
Andas En Mi Cabeza,Chino & Nacho,4/22/2017,FR2X41775359,"2,522",,"1,820,176,345",,,,
Remember,Becky Hill,4/23/2021,GBUM72102420,"2,529","453,644,642","68,753,113","86,516,663","3,974,042",,"1,721,093"
Here's Your Perfect,Jamie Miller,4/30/2021,USAT22101294,"2,523","418,998,816","349,432,726","1,962,424,177","1,401,958",,"1,072,765"
Highs & Lows,Prinz,6/2/2023,GBARL2300644,"2,530","64,747,926","30,831,455","304,170,641","476,637",,"434,423"
Survivorï¿½ï¿½ï¿½s R,Roddy Ricch,5/31/2024,USAT22403043,"2,535","4,462,637","2,244,519",,"703,876","252,183","49,126"
Halloween,Blood Dance,10/6/2022,CAENV2255241,"2,534","7,332","416,430,705",,,,152
Impossible,RIIZE,4/18/2024,KRA302400078,"2,533","16,327,372","29,637,408","64,226,700","19,003",,"39,544"
El Rescate,Grupo Marca Registrada,7/22/2022,USDXS2202347,"2,528","391,773,238","133,887,895","1,102,477,168","36,067,031",,"840,393"
Wockesha,Moneybagg Yo,4/23/2021,USUM72105621,"2,518","138,100,044","168,383,616","94,781,829","87,481,688",,"1,470,349"
Mirame,Blessd,4/17/2024,QZZ3N2400057,"2,532","24,345,826","22,781,812",,"69,725",,"155,799"
Pantysito,Alejo,3/18/2022,USUG12201485,"2,526","332,175,085","119,541,325","866,018,385","3,756,960",,"616,074"
brutal,Olivia Rodrigo,5/21/2021,USUG12101242,"2,524","639,900,946","147,309,966","774,173,668","17,091,110","278,311","820,892"
Recognize (feat. Drake),PARTYNEXTDOOR,7/29/2014,USWB11401866,"2,531","275,465,440","290,207,058","53,454,696","305,888,690","140,184,475","2,030,167"
Daylight,Drake,10/6/2023,USUG12306070,"2,521","78,417,212","4,514,270","38,589,807","1,294,581","2,871,573","152,693"
Lovefool,twocolors,5/8/2020,DEUM72001376,"2,519","359,757,970","216,865,947","658,030,330","33,047,274",,"4,918,636"
Rich Flex,Drake,11/3/2022,USUG12208614,"2,520","811,888,874","34,057,109",,,,
MEMORIAS,Mora,4/1/2022,QM4TX2252943,"2,527","359,336,745","143,505,182","82,205,989","367,017",,"868,434"
Mood Malandro,Cï¿½ï¿½dig,8/24/2023,QM3DF2276204,"2,538","188,309,858","87,069,499","18,855","3,910,844",,"422,023"
JACKIE BROWN,Brent Faiyaz,7/8/2022,QM24S2203177,"2,542","247,386,146","48,937,559","119,045,728","13,188,304","7,098,189","1,184,981"
TELEFONO NUEVO,Bad Bunny,10/13/2023,QMFME2364190,"2,544","101,706,440","37,327,301","11,568,535","2,910,823",,"304,399"
Danï¿½ï¿½a Ma,Bolofofos,5/3/2019,CAHQJ1924665,"2,536","10,423,140","1,126,576,126","3,059,373",,,"9,247"
Kalkatiya Raja,Pawan Singh,9/22/2023,DGA092395791,"2,545","8,607,782","171,883,395","36,029",,,"14,483"
Drippy,Sidhu Moose Wala,2/2/2024,INU252412475,"2,537","39,891,157","68,785,789",,,,"67,474"
Never Going Home,Kungs,4/28/2021,FR9W12110749,"2,539","304,069,347","87,407,927","94,926,621","675,312","948,433","5,206,645"
Problemï¿½,Alvaro Diaz,10/22/2021,USUM72118879,"2,548","275,492,185","104,950,820","2,603,158,294","7,459,382",,"779,473"
Waiting for the End,Linkin Park,4/12/2024,USWB12401899,"2,541","160,127,218",,,,,"1,451,466"
Pacto (feat. Luar La L),Jay Wheeler,4/24/2023,USUYG1480456,"2,547","58,652,026","74,399,520","344,636,407","4,123,989","1,875,071","397,215"
Nena Maldiciï¿½ï¿½n (feat. Lenny Tavï¿½,Paulo Londra,1/30/2018,TCADL1878978,"2,546","614,897,887","1,332,773,890",,,,
Talk talk,Charli xcx,6/7/2024,USAT22401345,"2,540","6,446,985","201,264","78,500","190,049","34,613","4,307"
Daisy,Ashnikko,7/9/2020,GBAYE2000596,"2,543","509,353,753","231,541,575","842,856,226","18,916,451",,"2,842,135"
Fast Forward,JEON SOMI,8/7/2023,KSA002301968,"2,556","88,499,180","134,376,601","291,191,318","190,079",,"258,644"
Ice Attack,Future,3/22/2024,USSM12402029,"2,553","38,912,003","3,915,932",,"459,198",,"58,111"
Stolen Dance,Milky Chance,1/1/2013,DEL211300741,"2,558","1,460,945,792","224,150,562","2,134,365,963",,,"24,485,799"
Set Me Free Pt.2,Jimin,3/17/2023,USA2P2251867,"2,554","350,802,342","150,660,549","494,628,703","2,552,268",,"437,897"
Satu Rasa Cinta,Fira Cantika,12/16/2022,IDA601902645,"2,555",,"1,858,910","133,463,784",,,
Azul,J Balvin,3/19/2020,USUM72001731,"2,557","489,654,759","478,807,073","491,920,895","52,380,337",,"994,262"
LOCATION,KAROL G,2/12/2021,USUM72023897,"2,551","236,644,328","525,752,748","329,180,615","9,793,641",,"962,269"
Terminator,King Promise,5/5/2023,GBARL2300512,"2,559","34,026,239","56,469,190","391,501,573","351,027",,"527,365"
Orang Yang Salah - Sped Up Version,Luvia band,9/20/2023,IDA192303865,"2,552","3,900,009","2,001,200","529,234,742",,,"21,387"
Snowman,Sia,11/9/2017,USAT21704212,"2,561","947,770,190","417,814,325","5,479,108,705","8,852,953",,"5,574,595"
Hurricane,Kanye West,8/29/2021,USUM72116311,"2,549","404,497,617","45,337,894","91,838,300","11,239,141",,"1,304,734"
Rumah Singgah,Fabio Asher,5/5/2022,SGB502214308,"2,550","239,624,643","228,923,419","3,306,847,230",,,"142,151"
Strip That Down (feat. Quavo),Liam Payne,5/18/2017,GBUM71701628,"2,560","1,000,549,809","503,776,997","181,309,829","320,956,633",,"7,058,362"
IT GIRL - Sped up Version,Aliyah's Interlude,9/30/2023,QZTB22394231,"2,570","23,708,233",,"3,090,790,304","124,021",,"363,715"
Khodni,AL SHAMI,5/16/2024,LBA132400598,"2,566","916,695","19,150,049",,,,"16,597"
Lost in the Fire (feat. The Weeknd),Gesaffelstein,1/11/2019,USQX91803314,"2,564","895,496,661","60,795,572","500,515,994","44,369,088","15,946,343","5,540,938"
Minha Heranï¿½,Ana Castela,5/30/2024,BKA7Y2400034,"2,575","3,582,494","8,320,170",,236,,"2,856"
Diva Yorgun,Melike ï¿½ï¿½,6/16/2023,TRBYM2000179,"2,574","62,458,329","167,062,542","25,252,458",,,"412,905"
Can't Get Enough,Jennifer Lopez,1/10/2024,QMRSZ2301148,"2,565","9,293,098","19,200,761","1,752,700","888,313",,"294,615"
The Man He Sees in Me,Luke Combs,6/6/2024,US6XF2400108,"2,569","5,942,861","417,205",,"1,140,678","3,844","14,609"
Dilemma,Nelly,6/25/2002,USUR10200370,"2,573","859,999,247","1,639,732,381","368,297,203","1,097,430,738","12,481,497","10,809,090"
